Order	Genus_Species	Red List Status	Domesticated	Climate Zone	Class of Consumption	Environment
CARNIVORA	Acinonyx_jubatus	VU	N	TR	C	T
CARNIVORA	Ailuropoda_melanoleuca	VU	N	S	H	T
PRIMATES	Aotus_nancymaae	LC	N	TR	O	T
CETARTIODACTYLA	Balaenoptera_acutorostrata	LC	N		C	M
CETARTIODACTYLA	Balaenoptera_bonaerensis	DD	N		C	M
CETARTIODACTYLA	Bison_bison	NT	Y	TE	H	T
CETARTIODACTYLA	Bos_indicus	x	Y	TR	H	T
CETARTIODACTYLA	Bos_mutus	VU	N	TE	H	T
CETARTIODACTYLA	Bos_taurus	x	Y	TE	H	T
CETARTIODACTYLA	Bubalus_arnee	EN	N	TR	H	T
PRIMATES	Callithrix_jacchus	LC	N	TR	O	T
CETARTIODACTYLA	Camelus_bactrianus	CR	N	TE	H	T
CETARTIODACTYLA	Camelus_ferus	LC	Y	TE	H	T
CARNIVORA	Canis_lupus_familiaras	x	Y		C	T
CETARTIODACTYLA	Capra_aegagrus	VU	N	TE	H	T
CETARTIODACTYLA	Capra_hircus	x	Y	TE	H	T
x	Carlito_syrichta	x	N	TR	O	T
PRIMATES	Cebus_capucinus	x	N	TR	O	T
PERISSODACTYLA	Ceratotherium_simum	NT	N	TR	H	T
PRIMATES	Cercocebus_atys	NT	N	TR	O	T
RODENTIA	Chinchilla_lanigera	EN	N	TR	H	T
PRIMATES	Chlorocebus_sabaeus	LC	N	TR	O	T
PILOSA	Choloepus_hoffmanni	LC	N	TR	H	T
AFROSORICIDA	Chrysochloris_asiatica	LC	N	TR	C	T
PRIMATES	Colobus_angolensis	LC	N	TR	H	T
EULIPOTYPHLA	Condylura_cristata	LC	N	TE	C	T
RODENTIA	Cricetulus_griseus	x	Y		H	T
PRIMATES	Daubentonia_madagascariensis	EN	N	TR	O	T
RODENTIA	Dipodomys_ordii	LC	N	TE	H	T
AFROSORICIDA	Echinops_telfairi	LC	N	TR	C	T
CHIROPTERA	Eidolon_helvum	NT	N	TR	O	T
MACROSCELIDEA	Elephantulus_edwardii	LC	N	S	O	T
RODENTIA	Ellobius_lutescens	LC	N	TE	C	T
RODENTIA	Ellobius_talpinus	LC	N	TE	H	T
CHIROPTERA	Eptesicus_fuscus	LC	N	TE	C	T
